Engine	Endpoint	Distance	Hops	Time
neo2	234550	30094	20	0.013
Grapht	234550	30094	20	0.761
PSQL2	234550	30094	20	1.695
neo2	75029	95308	40	0.070
Grapht	75029	95308	40	1.726
PSQL2	75029	95308	40	31.902
neo2	250139	54125	60	0.027
Grapht	250139	54125	60	1.003
PSQL2	250139	54125	60	24.884
neo2	184016	100106	80	0.048
Grapht	184016	100106	80	2.257
PSQL2	184016	100106	80	36.115
neo2	17188	117144	100	0.085
Grapht	17188	117144	100	3.097
PSQL2	17188	117144	100	60.427
neo2	234550	30094	20	0.002
Grapht	234550	30094	20	0.279
PSQL2	234550	30094	20	1.501
neo2	75029	95308	40	0.033
Grapht	75029	95308	40	1.316
PSQL2	75029	95308	40	29.393
neo2	250139	54125	60	0.025
Grapht	250139	54125	60	1.130
PSQL2	250139	54125	60	22.840
neo2	184016	100106	80	0.038
Grapht	184016	100106	80	2.178
PSQL2	184016	100106	80	35.958
neo2	17188	117144	100	0.067
Grapht	17188	117144	100	2.755
PSQL2	17188	117144	100	57.918
neo2	234550	30094	20	0.003
Grapht	234550	30094	20	0.329
PSQL2	234550	30094	20	1.393
neo2	75029	95308	40	0.039
Grapht	75029	95308	40	1.412
PSQL2	75029	95308	40	30.120
neo2	250139	54125	60	0.024
Grapht	250139	54125	60	0.960
PSQL2	250139	54125	60	23.695
neo2	184016	100106	80	0.037
Grapht	184016	100106	80	2.049
PSQL2	184016	100106	80	34.340
neo2	17188	117144	100	0.070
Grapht	17188	117144	100	2.696
PSQL2	17188	117144	100	59.229
neo2	234550	30094	20	0.002
Grapht	234550	30094	20	0.385
PSQL2	234550	30094	20	1.599
neo2	75029	95308	40	0.034
Grapht	75029	95308	40	1.393
PSQL2	75029	95308	40	29.519
neo2	250139	54125	60	0.036
Grapht	250139	54125	60	1.092
PSQL2	250139	54125	60	22.300
neo2	184016	100106	80	0.038
Grapht	184016	100106	80	1.983
PSQL2	184016	100106	80	33.839
neo2	17188	117144	100	0.063
Grapht	17188	117144	100	2.842
PSQL2	17188	117144	100	58.515
neo2	234550	30094	20	0.003
Grapht	234550	30094	20	0.310
PSQL2	234550	30094	20	1.378
neo2	75029	95308	40	0.034
Grapht	75029	95308	40	1.360
PSQL2	75029	95308	40	28.989
neo2	250139	54125	60	0.025
Grapht	250139	54125	60	0.934
PSQL2	250139	54125	60	21.685
neo2	184016	100106	80	0.040
Grapht	184016	100106	80	1.997
PSQL2	184016	100106	80	36.072
neo2	17188	117144	100	0.065
Grapht	17188	117144	100	2.693
PSQL2	17188	117144	100	62.267
