Engine	Endpoint	Distance	Hops	Time
Grapht	171105	45803	55	0.283
Grapht	171105	45803	55	0.292
Grapht	171105	45803	55	0.308
Grapht	171105	45803	55	0.315
Grapht	171105	45803	55	0.322
Grapht	171105	45803	55	0.327
Grapht	171105	45803	55	0.332
Grapht	171105	45803	55	0.353
Grapht	171105	45803	55	0.361
Grapht	171105	45803	55	0.405
Grapht	47094	56172	53	0.944
Grapht	47094	56172	53	0.958
Grapht	47094	56172	53	0.980
Grapht	47094	56172	53	0.985
Grapht	47094	56172	53	1.016
Grapht	47094	56172	53	1.020
Grapht	47094	56172	53	1.070
Grapht	47094	56172	53	1.101
Grapht	47094	56172	53	1.119
Grapht	47094	56172	53	1.213
Grapht	60565	76737	57	1.794
Grapht	60565	76737	57	1.820
Grapht	60565	76737	57	1.841
Grapht	60565	76737	57	1.850
Grapht	60565	76737	57	1.877
Grapht	60565	76737	57	1.895
Grapht	60565	76737	57	1.924
Grapht	60565	76737	57	1.933
Grapht	60565	76737	57	1.938
Grapht	60565	76737	57	2.104
Neo4J	171105	45803	55	0.021
Neo4J	171105	45803	55	0.021
Neo4J	171105	45803	55	0.022
Neo4J	171105	45803	55	0.022
Neo4J	171105	45803	55	0.022
Neo4J	171105	45803	55	0.022
Neo4J	171105	45803	55	0.023
Neo4J	171105	45803	55	0.023
Neo4J	171105	45803	55	0.023
Neo4J	171105	45803	55	0.024
Neo4J	47094	56172	53	0.022
Neo4J	47094	56172	53	0.023
Neo4J	47094	56172	53	0.023
Neo4J	47094	56172	53	0.023
Neo4J	47094	56172	53	0.023
Neo4J	47094	56172	53	0.023
Neo4J	47094	56172	53	0.023
Neo4J	47094	56172	53	0.024
Neo4J	47094	56172	53	0.025
Neo4J	47094	56172	53	0.025
Neo4J	60565	76737	57	0.033
Neo4J	60565	76737	57	0.034
Neo4J	60565	76737	57	0.034
Neo4J	60565	76737	57	0.034
Neo4J	60565	76737	57	0.034
Neo4J	60565	76737	57	0.035
Neo4J	60565	76737	57	0.035
Neo4J	60565	76737	57	0.036
Neo4J	60565	76737	57	0.038
Neo4J	60565	76737	57	0.039
PostgreSQL	171105	45803	55	18.724
PostgreSQL	171105	45803	55	18.917
PostgreSQL	171105	45803	55	20.811
PostgreSQL	171105	45803	55	21.784
PostgreSQL	171105	45803	55	21.965
PostgreSQL	171105	45803	55	22.088
PostgreSQL	171105	45803	55	22.183
PostgreSQL	171105	45803	55	22.333
PostgreSQL	171105	45803	55	22.375
PostgreSQL	171105	45803	55	22.553
PostgreSQL	47094	56172	53	19.118
PostgreSQL	47094	56172	53	20.833
PostgreSQL	47094	56172	53	20.995
PostgreSQL	47094	56172	53	21.542
PostgreSQL	47094	56172	53	22.051
PostgreSQL	47094	56172	53	22.063
PostgreSQL	47094	56172	53	22.436
PostgreSQL	47094	56172	53	22.769
PostgreSQL	47094	56172	53	22.941
PostgreSQL	47094	56172	53	24.364
PostgreSQL	60565	76737	57	31.985
PostgreSQL	60565	76737	57	32.220
PostgreSQL	60565	76737	57	32.353
PostgreSQL	60565	76737	57	33.289
PostgreSQL	60565	76737	57	34.937
PostgreSQL	60565	76737	57	35.337
PostgreSQL	60565	76737	57	35.416
PostgreSQL	60565	76737	57	35.864
PostgreSQL	60565	76737	57	36.871
PostgreSQL	60565	76737	57	36.886
