Engine	Route	Results	Total Time	Graph Time	Relational Time
Neo4J	128782,129188	List(28688)	3983587512	53035881	3930059889
PostgreSQL	128782,129188	List(28688)	14510043813	13524610588	984639858
Grapht	128782,129188	List(28688)	1373810752	389293593	983827380
Neo4J	17160,20247	List(60114)	4009190960	68168346	3940993348
PostgreSQL	17160,20247	List(60114)	57433294808	56423907281	1009352056
Grapht	17160,20247	List(60114)	2920828966	1957560343	963189813
Neo4J	44553,43662	List(62419)	3020159424	30771183	2989353417
PostgreSQL	44553,43662	List(62419)	28155422557	27167397565	987986537
Grapht	44553,43662	List(62419)	2065178334	1107225620	957928825
Neo4J	128782,129188	List(28688)	2959252471	14901697	2944331502
PostgreSQL	128782,129188	List(28688)	14322040451	13334913232	987097638
Grapht	128782,129188	List(28688)	1233485425	272043658	961419695
Neo4J	17160,20247	List(60114)	2934096635	62047215	2872027484
PostgreSQL	17160,20247	List(60114)	58830095052	57769769697	1060295184
Grapht	17160,20247	List(60114)	2617079193	1533058985	1083999971
Neo4J	44553,43662	List(62419)	3051045559	29204687	3021819321
PostgreSQL	44553,43662	List(62419)	30000973259	29032095016	968833033
Grapht	44553,43662	List(62419)	2179605891	1204329019	975251866
Neo4J	128782,129188	List(28688)	3188989818	15943893	3173023464
PostgreSQL	128782,129188	List(28688)	14068880753	13079035033	989816302
Grapht	128782,129188	List(28688)	1239383284	272576682	966783556
Neo4J	17160,20247	List(60114)	2933193161	60457381	2872713290
PostgreSQL	17160,20247	List(60114)	59379586083	58391693631	987862638
Grapht	17160,20247	List(60114)	2670715562	1712686015	957987196
Neo4J	44553,43662	List(62419)	3061767187	31910550	3029833315
PostgreSQL	44553,43662	List(62419)	28814448060	27842903096	971492962
Grapht	44553,43662	List(62419)	1990322569	1031546887	958753323
Neo4J	128782,129188	List(28688)	2884449635	14760981	2869659182
PostgreSQL	128782,129188	List(28688)	12952329974	11984666680	967636132
Grapht	128782,129188	List(28688)	1207349441	248227839	959093479
Neo4J	17160,20247	List(60114)	3076603005	61618838	3014965647
PostgreSQL	17160,20247	List(60114)	59318337089	58347263900	971049597
Grapht	17160,20247	List(60114)	2604848059	1646919895	957911015
Neo4J	44553,43662	List(62419)	3023118181	29872668	2993229480
PostgreSQL	44553,43662	List(62419)	29513991532	28547714762	966255170
Grapht	44553,43662	List(62419)	2079370293	1089893182	989458997
Neo4J	128782,129188	List(28688)	2968356530	16125286	2952216113
PostgreSQL	128782,129188	List(28688)	12425465731	11456989140	968454545
Grapht	128782,129188	List(28688)	1213491805	254882888	958591415
Neo4J	17160,20247	List(60114)	2986572618	56852047	2929702850
PostgreSQL	17160,20247	List(60114)	57593390330	56620434522	972932395
Grapht	17160,20247	List(60114)	2939407232	1980561412	958827858
Neo4J	44553,43662	List(62419)	3054323208	29604042	3024702908
PostgreSQL	44553,43662	List(62419)	30191300803	29219066838	972213817
Grapht	44553,43662	List(62419)	2197866284	1240772937	957075461
Neo4J	128782,129188	List(28688)	2964315049	13390394	2950908857
PostgreSQL	128782,129188	List(28688)	12361784804	11371375409	990390330
Grapht	128782,129188	List(28688)	1206769931	248262322	958490348
Neo4J	17160,20247	List(60114)	2932666085	57437548	2875211381
PostgreSQL	17160,20247	List(60114)	56493686281	55491916562	1001749889
Grapht	17160,20247	List(60114)	2819093380	1860863817	958211984
Neo4J	44553,43662	List(62419)	3048404575	28776389	3019611670
PostgreSQL	44553,43662	List(62419)	27099534366	26098356399	1001153877
Grapht	44553,43662	List(62419)	2050899542	1085844248	965037865
Neo4J	128782,129188	List(28688)	2959940763	13376976	2946548580
PostgreSQL	128782,129188	List(28688)	12915779558	11927875343	987882998
Grapht	128782,129188	List(28688)	1256371628	288718176	967636007
Neo4J	17160,20247	List(60114)	3017020007	60849301	2956152981
PostgreSQL	17160,20247	List(60114)	55675462744	54705101534	970338674
Grapht	17160,20247	List(60114)	2786894104	1828160264	958715056
Neo4J	44553,43662	List(62419)	3067085355	28669890	3038399687
PostgreSQL	44553,43662	List(62419)	29134793426	28164025643	970745619
Grapht	44553,43662	List(62419)	2139782858	1142811966	996952522
Neo4J	128782,129188	List(28688)	2890357419	13617975	2876723120
PostgreSQL	128782,129188	List(28688)	13533010869	12570067065	962920700
Grapht	128782,129188	List(28688)	1279088161	322963506	956106476
Neo4J	17160,20247	List(60114)	3015303994	57481791	2957802454
PostgreSQL	17160,20247	List(60114)	54715985384	53736170021	979794823
Grapht	17160,20247	List(60114)	2703746111	1744414129	959312736
Neo4J	44553,43662	List(62419)	2984590516	28287546	2956287623
PostgreSQL	44553,43662	List(62419)	30739411237	29755876440	983511074
Grapht	44553,43662	List(62419)	2106250828	1143405076	962828741
Neo4J	128782,129188	List(28688)	2888702694	13243441	2875445652
PostgreSQL	128782,129188	List(28688)	12397162042	11428628737	968504031
Grapht	128782,129188	List(28688)	1236211026	250825524	985367119
Neo4J	17160,20247	List(60114)	3061278286	66593667	2994667741
PostgreSQL	17160,20247	List(60114)	59656954684	58687095477	969837562
Grapht	17160,20247	List(60114)	2660483528	1701710610	958755695
Neo4J	44553,43662	List(62419)	2997078535	28515823	2968420690
PostgreSQL	44553,43662	List(62419)	30892361692	29910760253	981570339
Grapht	44553,43662	List(62419)	2052326345	1091467584	960841228
Neo4J	128782,129188	List(28688)	2881897115	13660210	2868223164
PostgreSQL	128782,129188	List(28688)	12149368600	11185097757	964250455
Grapht	128782,129188	List(28688)	1239435138	267429142	971987733
Neo4J	17160,20247	List(60114)	3013215796	57518968	2955679702
PostgreSQL	17160,20247	List(60114)	59792539685	58825969771	966550600
Grapht	17160,20247	List(60114)	2771323496	1811524360	959780851
Neo4J	44553,43662	List(62419)	2928755785	28351915	2900388779
PostgreSQL	44553,43662	List(62419)	28078762217	27072219492	1006518610
Grapht	44553,43662	List(62419)	2086805217	1109880607	976907094
