Prefetcher	Size	Hops	Start	End	Vertices Requested	Vertices Evicted	Cache Hits	Cache Misses	Total Runtime	Total DB time	DB calls
CTE Lookahead	1	20	28238	21382	2515	0	1694	821	931156502	660641447	821
CTE Lookahead	1	20	28238	21382	2515	0	1694	821	652759626	557924053	821
CTE Lookahead	1	20	28238	21382	2515	0	1694	821	698941909	610236299	821
CTE Lookahead	1	20	28238	21382	2515	0	1694	821	528396582	454683701	821
CTE Lookahead	1	20	28238	21382	2515	0	1694	821	624393995	537874177	821
CTE Lookahead	2	20	28238	21382	2515	0	2146	369	301238958	223826840	369
CTE Lookahead	2	20	28238	21382	2515	0	2146	369	262694543	205473324	369
CTE Lookahead	2	20	28238	21382	2515	0	2146	369	296887617	228833194	369
CTE Lookahead	2	20	28238	21382	2515	0	2146	369	380492061	295588269	369
CTE Lookahead	2	20	28238	21382	2515	0	2146	369	338969892	263557781	369
CTE Lookahead	3	20	28238	21382	2515	0	2330	185	182345732	132109255	185
CTE Lookahead	3	20	28238	21382	2515	0	2330	185	214266937	156696811	185
CTE Lookahead	3	20	28238	21382	2515	0	2330	185	282418387	212959542	185
CTE Lookahead	3	20	28238	21382	2515	0	2330	185	203071884	143993579	185
CTE Lookahead	3	20	28238	21382	2515	0	2330	185	178364233	131677433	185
CTE Lookahead	4	20	28238	21382	2515	0	2406	109	182530379	114493632	109
CTE Lookahead	4	20	28238	21382	2515	0	2406	109	182545216	114832841	109
CTE Lookahead	4	20	28238	21382	2515	0	2406	109	159781664	108778021	109
CTE Lookahead	4	20	28238	21382	2515	0	2406	109	170767396	110735630	109
CTE Lookahead	4	20	28238	21382	2515	0	2406	109	197769546	136326508	109
CTE Lookahead	5	20	28238	21382	2515	0	2443	72	202725115	144772081	72
CTE Lookahead	5	20	28238	21382	2515	0	2443	72	193363515	135245004	72
CTE Lookahead	5	20	28238	21382	2515	0	2443	72	183082728	119888590	72
CTE Lookahead	5	20	28238	21382	2515	0	2443	72	190693634	122123724	72
CTE Lookahead	5	20	28238	21382	2515	0	2443	72	186050699	126876331	72
CTE Lookahead	6	20	28238	21382	2515	0	2463	52	315048453	237115885	52
CTE Lookahead	6	20	28238	21382	2515	0	2463	52	286218697	217598676	52
CTE Lookahead	6	20	28238	21382	2515	0	2463	52	282144147	206328510	52
CTE Lookahead	6	20	28238	21382	2515	0	2463	52	419047037	314334300	52
CTE Lookahead	6	20	28238	21382	2515	0	2463	52	326870032	227596156	52
CTE Lookahead	7	20	28238	21382	2515	0	2476	39	582012382	447117554	39
CTE Lookahead	7	20	28238	21382	2515	0	2476	39	598120079	480992191	39
CTE Lookahead	7	20	28238	21382	2515	0	2476	39	549313940	437139238	39
CTE Lookahead	7	20	28238	21382	2515	0	2476	39	575875270	445727714	39
CTE Lookahead	7	20	28238	21382	2515	0	2476	39	558511100	453774930	39
CTE Lookahead	8	20	28238	21382	2515	0	2486	29	1365083889	1204653903	29
CTE Lookahead	8	20	28238	21382	2515	0	2486	29	1375312650	1218576937	29
CTE Lookahead	8	20	28238	21382	2515	0	2486	29	1339745693	1182264238	29
CTE Lookahead	8	20	28238	21382	2515	0	2486	29	1370642081	1252778577	29
CTE Lookahead	8	20	28238	21382	2515	0	2486	29	1345327504	1205550571	29
CTE Lookahead	9	20	28238	21382	2515	0	2493	22	4198003935	4046900567	22
CTE Lookahead	9	20	28238	21382	2515	0	2493	22	3968722014	3804177822	22
CTE Lookahead	9	20	28238	21382	2515	0	2493	22	3936686301	3783790376	22
CTE Lookahead	9	20	28238	21382	2515	0	2493	22	3970369180	3805601717	22
CTE Lookahead	9	20	28238	21382	2515	0	2493	22	3946734990	3816107567	22
Lookahead	1	20	28238	21382	2515	0	2146	369	1713672007	1575933664	738
Lookahead	1	20	28238	21382	2515	0	2146	369	1323775518	1220330006	738
Lookahead	1	20	28238	21382	2515	0	2146	369	1647500514	1530497235	738
Lookahead	1	20	28238	21382	2515	0	2146	369	1483410496	1379545725	738
Lookahead	1	20	28238	21382	2515	0	2146	369	1513913108	1407974770	738
Lookahead	5	20	28238	21382	2515	0	2465	50	678672513	576701088	300
Lookahead	5	20	28238	21382	2515	0	2465	50	641186065	544125114	300
Lookahead	5	20	28238	21382	2515	0	2465	50	688282863	594983100	300
Lookahead	5	20	28238	21382	2515	0	2465	50	689392448	590876651	300
Lookahead	5	20	28238	21382	2515	0	2465	50	688821074	603421894	300
Lookahead	10	20	28238	21382	2515	0	2500	15	455033052	355129713	165
Lookahead	10	20	28238	21382	2515	0	2500	15	494852410	392376480	165
Lookahead	10	20	28238	21382	2515	0	2500	15	511392847	410909972	165
Lookahead	10	20	28238	21382	2515	0	2500	15	422629121	324529450	165
Lookahead	10	20	28238	21382	2515	0	2500	15	463730939	371968894	165
