Engine	Query	Results	Time
Neo4J	61a9f208a93e4bf7e3f78fb1fe2a19a1	91391	12488902323
Grapht	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	3027217199
PostgreSQL	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	3027217199
Neo4J	be6dccb89be8de8f5ddeb2cf18e19c35	20824	11073827811
Grapht	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2631574328
PostgreSQL	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2631574328
Neo4J	cfa9a37f3d0dffe0975a0d45c1668119	30987	10843380325
Grapht	cfa9a37f3d0dffe0975a0d45c1668119	322523	2634200492
PostgreSQL	cfa9a37f3d0dffe0975a0d45c1668119	322523	2634200492
Neo4J	61a9f208a93e4bf7e3f78fb1fe2a19a1	91391	10992468213
Grapht	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2836345695
PostgreSQL	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2836345695
Neo4J	be6dccb89be8de8f5ddeb2cf18e19c35	20824	10624751220
Grapht	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2631572978
PostgreSQL	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2631572978
Neo4J	cfa9a37f3d0dffe0975a0d45c1668119	30987	10960232474
Grapht	cfa9a37f3d0dffe0975a0d45c1668119	322523	2881688535
PostgreSQL	cfa9a37f3d0dffe0975a0d45c1668119	322523	2881688535
Neo4J	61a9f208a93e4bf7e3f78fb1fe2a19a1	91391	10668726602
Grapht	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2631603780
PostgreSQL	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2631603780
Neo4J	be6dccb89be8de8f5ddeb2cf18e19c35	20824	10766832561
Grapht	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2641918113
PostgreSQL	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2641918113
Neo4J	cfa9a37f3d0dffe0975a0d45c1668119	30987	10735444388
Grapht	cfa9a37f3d0dffe0975a0d45c1668119	322523	2627790714
PostgreSQL	cfa9a37f3d0dffe0975a0d45c1668119	322523	2627790714
Neo4J	61a9f208a93e4bf7e3f78fb1fe2a19a1	91391	10985418810
Grapht	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2632432676
PostgreSQL	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2632432676
Neo4J	be6dccb89be8de8f5ddeb2cf18e19c35	20824	10898484020
Grapht	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2831288313
PostgreSQL	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2831288313
Neo4J	cfa9a37f3d0dffe0975a0d45c1668119	30987	11232542417
Grapht	cfa9a37f3d0dffe0975a0d45c1668119	322523	2916459949
PostgreSQL	cfa9a37f3d0dffe0975a0d45c1668119	322523	2916459949
Neo4J	61a9f208a93e4bf7e3f78fb1fe2a19a1	91391	11089426986
Grapht	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2645632057
PostgreSQL	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2645632057
Neo4J	be6dccb89be8de8f5ddeb2cf18e19c35	20824	11217496855
Grapht	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2633137675
PostgreSQL	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2633137675
Neo4J	cfa9a37f3d0dffe0975a0d45c1668119	30987	10991464911
Grapht	cfa9a37f3d0dffe0975a0d45c1668119	322523	2790203473
PostgreSQL	cfa9a37f3d0dffe0975a0d45c1668119	322523	2790203473
Neo4J	61a9f208a93e4bf7e3f78fb1fe2a19a1	91391	10776732226
Grapht	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2651433704
PostgreSQL	61a9f208a93e4bf7e3f78fb1fe2a19a1	353176	2651433704
Neo4J	be6dccb89be8de8f5ddeb2cf18e19c35	20824	10735987322
Grapht	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2637989491
PostgreSQL	be6dccb89be8de8f5ddeb2cf18e19c35	189546	2637989491
