Engine	End	Length	Time
Neo4J 	50	135812	264211888
Grapht	50	135812	2072416415
Neo4J 	164352	115311	111341573
Grapht	164352	115311	3961398709
Neo4J 	20756	353972	547167560
Grapht	20756	353972	37176045093
Neo4J 	151443	432094	582799384
Grapht	151443	432094	33321838383
Neo4J 	50	135812	258547689
Grapht	50	135812	1834634922
Neo4J 	164352	115311	160839049
Grapht	164352	115311	3794799320
Neo4J 	20756	353972	493545886
Grapht	20756	353972	27333392466
Neo4J 	151443	432094	565192491
Grapht	151443	432094	32572108538
PostgreSQL	50	135812	17165145069
PostgreSQL	164352	115311	111674484547
