4897-54->256615
221968-52->54071
185978-59->178307
48924-52->131639
List((4897,256615), (221968,54071), (185978,178307), (48924,131639))
neo2	256615	65299	0.130
Grapht	256615	64602	1.087
neo2	256615	65299	0.019
Grapht	256615	64602	0.670
neo2	256615	65299	0.018
Grapht	256615	64602	0.772
neo2	256615	65299	0.013
Grapht	256615	64602	0.670
neo2	256615	65299	0.012
Grapht	256615	64602	0.713
neo2	256615	65299	0.012
Grapht	256615	64602	0.716
neo2	256615	65299	0.018
Grapht	256615	64602	0.983
neo2	256615	65299	0.018
Grapht	256615	64602	1.015
neo2	256615	65299	0.019
Grapht	256615	64602	1.001
neo2	256615	65299	0.018
Grapht	256615	64602	0.992

neo2	54071	57960	0.045
Grapht	54071	58657	1.908
neo2	54071	57960	0.046
Grapht	54071	58657	1.740
neo2	54071	57960	0.056
Grapht	54071	58657	1.742
neo2	54071	57960	0.059
Grapht	54071	58657	1.703
neo2	54071	57960	0.038
Grapht	54071	58657	1.686
neo2	54071	57960	0.027
Grapht	54071	58657	1.311
neo2	54071	57960	0.026
Grapht	54071	58657	1.190
neo2	54071	57960	0.026
Grapht	54071	58657	1.125
neo2	54071	57960	0.027
Grapht	54071	58657	1.201
neo2	54071	57960	0.024
Grapht	54071	58657	1.196

neo2	178307	246595	0.286
Grapht	178307	246817	17.602
neo2	178307	246595	0.285
Grapht	178307	246817	15.841
neo2	178307	246595	0.277
Grapht	178307	246817	16.337
neo2	178307	246595	0.278
Grapht	178307	246817	16.361
neo2	178307	246595	0.279
Grapht	178307	246817	16.764
neo2	178307	246595	0.279
Grapht	178307	246817	16.582
neo2	178307	246595	0.277
Grapht	178307	246817	16.563
neo2	178307	246595	0.298
Grapht	178307	246817	16.496
neo2	178307	246595	0.300
Grapht	178307	246817	16.266
neo2	178307	246595	0.277
Grapht	178307	246817	16.251

neo2	131639	62137	0.030
Grapht	131639	60660	1.894
neo2	131639	62137	0.032
Grapht	131639	60660	1.741
neo2	131639	62137	0.033
Grapht	131639	60660	1.614
neo2	131639	62137	0.033
Grapht	131639	60660	1.523
neo2	131639	62137	0.035
Grapht	131639	60660	1.519
neo2	131639	62137	0.029
Grapht	131639	60660	1.649
neo2	131639	62137	0.032
Grapht	131639	60660	1.715
neo2	131639	62137	0.032
Grapht	131639	60660	1.664
neo2	131639	62137	0.044
Grapht	131639	60660	1.706
neo2	131639	62137	0.028
Grapht	131639	60660	1.463

[0m[[32msuccess[0m] [0mTotal time: 235 s, completed 25-May-2016 11:26:17[0m
