Prefetcher,Start,End,Vertices Requested,Vertices Evicted,Cache Hits, Cache Misses,Total Runtime,Total DB time,DB calls
CTE Lookahead (1),1,50,6573,0,1404,5169,4048795018,3262588903,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,1789105091,1387093636,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1721067867,1248562023,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1289493087,862742199,826
CTE Lookahead (5),1,50,6573,0,6024,549,1486660696,998211062,549
CTE Lookahead (6),1,50,6573,0,6168,405,1532853730,1036427990,405
CTE Lookahead (7),1,50,6573,0,6266,307,2294504824,1689145289,307
CTE Lookahead (8),1,50,6573,0,6336,237,3937018662,3170244233,237
CTE Lookahead (9),1,50,6573,0,6376,197,7939514467,7036273957,197
CTE Lookahead (10),1,50,6573,0,6414,159,17768894977,16784006332,159
Lookahead (1),1,50,6573,0,4171,2402,11574449290,10827802175,4804
Lookahead (2),1,50,6573,0,5273,1300,8641178909,7991132460,3900
Lookahead (3),1,50,6573,0,5754,819,8600905352,7907136415,3276
Lookahead (4),1,50,6573,0,6029,544,5882082995,5235883850,2720
Lookahead (5),1,50,6573,0,6170,403,6161640927,5496894332,2418
Lookahead (10),1,50,6573,0,6448,125,3600797381,2965775352,1375
Lookahead (20),1,50,6573,0,6541,32,2276349892,1593224480,672
Lookahead (30),1,50,6573,0,6558,15,1734565648,1100012136,465
Lookahead (40),1,50,6573,0,6566,7,1348902997,781828411,287
Lookahead (50),1,50,6573,0,6569,4,1264721491,653047879,204
Lookahead (60),1,50,6573,0,6570,3,1144488995,593336358,183
Lookahead (70),1,50,6573,0,6570,3,1627062158,760954283,213
Lookahead (80),1,50,6573,0,6571,2,1611104084,680190050,162
Lookahead (90),1,50,6573,0,6571,2,2075671661,807316130,182
Lookahead (100),1,50,6573,0,6571,2,2500729174,963153300,202
Null Prefetcher,1,50,6573,0,1404,5169,11173501473,10606707979,5169
Block (1),1,50,6573,0,1404,5169,289175933431,288040214449,5169
Block (10),1,50,6573,0,1404,5169,295914366201,294981141008,5169
Block (50),1,50,6573,0,1406,5167,295455736485,294484708018,5167
Block (100),1,50,6573,0,1414,5159,288910513626,287947423067,5159
Block (250),1,50,6573,0,1588,4985,286247088394,285324809927,4985
Block (500),1,50,6573,0,2129,4444,250896625742,250017208386,4444
Block (1000),1,50,6573,0,3443,3130,170135250462,169412587621,3130
Block (5000),1,50,6573,0,6149,424,23788060048,23169326828,424
Block (10000),1,50,6573,0,6433,140,9225039098,8122104880,140
Block (20000),1,50,6573,0,6531,42,5852433141,3493830301,42
CTE Lookahead (1),1,50,6573,0,1404,5169,4732828862,4046846215,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,2316708179,1839163426,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1505013726,1090815592,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1288172102,880099528,826
CTE Lookahead (5),1,50,6573,0,6024,549,1270236431,858660889,549
CTE Lookahead (6),1,50,6573,0,6168,405,1319354651,893485186,405
CTE Lookahead (7),1,50,6573,0,6266,307,2082220704,1538647682,307
CTE Lookahead (8),1,50,6573,0,6336,237,3570363903,2918299308,237
CTE Lookahead (9),1,50,6573,0,6376,197,7249217073,6377403021,197
CTE Lookahead (10),1,50,6573,0,6414,159,16281092439,15337093976,159
Lookahead (1),1,50,6573,0,4171,2402,10950205323,10263759099,4804
Lookahead (2),1,50,6573,0,5273,1300,8689699509,8046440141,3900
Lookahead (3),1,50,6573,0,5754,819,8199223308,7526816531,3276
Lookahead (4),1,50,6573,0,6029,544,6301993897,5699216408,2720
Lookahead (5),1,50,6573,0,6170,403,5722287179,5097881769,2418
Lookahead (10),1,50,6573,0,6448,125,3776226537,3138312453,1375
Lookahead (20),1,50,6573,0,6541,32,2312830604,1667421760,672
Lookahead (30),1,50,6573,0,6558,15,1862187052,1159420956,465
Lookahead (40),1,50,6573,0,6566,7,1310523628,731877465,287
Lookahead (50),1,50,6573,0,6569,4,1138949002,563173810,204
Lookahead (60),1,50,6573,0,6570,3,1027870925,524520543,183
Lookahead (70),1,50,6573,0,6570,3,1510662157,731548813,213
Lookahead (80),1,50,6573,0,6571,2,1559900768,641332215,162
Lookahead (90),1,50,6573,0,6571,2,2319323587,915804376,182
Lookahead (100),1,50,6573,0,6571,2,2448948990,878732200,202
Null Prefetcher,1,50,6573,0,1404,5169,12457826104,11923619709,5169
Block (1),1,50,6573,0,1404,5169,288955852964,288015836934,5169
Block (10),1,50,6573,0,1404,5169,293690372008,292718383489,5169
Block (50),1,50,6573,0,1406,5167,295322649799,294372450644,5167
Block (100),1,50,6573,0,1414,5159,280004858959,279021511678,5159
Block (250),1,50,6573,0,1588,4985,281806420113,280842071388,4985
Block (500),1,50,6573,0,2129,4444,249563174923,248704436223,4444
Block (1000),1,50,6573,0,3443,3130,175123961310,174436308229,3130
Block (5000),1,50,6573,0,6149,424,23832908245,23235429175,424
Block (10000),1,50,6573,0,6433,140,9278800747,8195270085,140
Block (20000),1,50,6573,0,6531,42,5982447320,3584536856,42
CTE Lookahead (1),1,50,6573,0,1404,5169,4079058560,3491548986,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,2411870288,1929433109,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1104032375,811549117,1294
CTE Lookahead (4),1,50,6573,0,5747,826,988801807,685799466,826
CTE Lookahead (5),1,50,6573,0,6024,549,1331589755,883755389,549
CTE Lookahead (6),1,50,6573,0,6168,405,1393921320,949871029,405
CTE Lookahead (7),1,50,6573,0,6266,307,2021319859,1461089736,307
CTE Lookahead (8),1,50,6573,0,6336,237,3698819935,3017053209,237
CTE Lookahead (9),1,50,6573,0,6376,197,7299849706,6426680789,197
CTE Lookahead (10),1,50,6573,0,6414,159,16247325571,15329525990,159
Lookahead (1),1,50,6573,0,4171,2402,10477000095,9829619562,4804
Lookahead (2),1,50,6573,0,5273,1300,8828869340,8179556066,3900
Lookahead (3),1,50,6573,0,5754,819,7100018684,6462462828,3276
Lookahead (4),1,50,6573,0,6029,544,5769945334,5166717124,2720
Lookahead (5),1,50,6573,0,6170,403,5144715458,4530474629,2418
Lookahead (10),1,50,6573,0,6448,125,3331143994,2766949940,1375
Lookahead (20),1,50,6573,0,6541,32,2275527807,1574018461,672
Lookahead (30),1,50,6573,0,6558,15,1904230189,1249484653,465
Lookahead (40),1,50,6573,0,6566,7,1372358730,786772052,287
Lookahead (50),1,50,6573,0,6569,4,1464862471,726763065,204
Lookahead (60),1,50,6573,0,6570,3,1121536017,581060778,183
Lookahead (70),1,50,6573,0,6570,3,1697361127,785032762,213
Lookahead (80),1,50,6573,0,6571,2,1745218106,699600169,162
Lookahead (90),1,50,6573,0,6571,2,2215667750,817593421,182
Lookahead (100),1,50,6573,0,6571,2,2393535811,864386764,202
Null Prefetcher,1,50,6573,0,1404,5169,10767229897,10291101843,5169
Block (1),1,50,6573,0,1404,5169,280746011929,279809586397,5169
Block (10),1,50,6573,0,1404,5169,294360124606,293383955271,5169
Block (50),1,50,6573,0,1406,5167,294356876597,293385466865,5167
Block (100),1,50,6573,0,1414,5159,291713031832,290735539956,5159
Block (250),1,50,6573,0,1588,4985,279203966983,278245534647,4985
Block (500),1,50,6573,0,2129,4444,253171885790,252332913719,4444
Block (1000),1,50,6573,0,3443,3130,175510356592,174772418767,3130
Block (5000),1,50,6573,0,6149,424,23960610096,23275455368,424
Block (10000),1,50,6573,0,6433,140,9798528831,8505044841,140
Block (20000),1,50,6573,0,6531,42,6367091235,3546154396,42
CTE Lookahead (1),1,50,6573,0,1404,5169,4105203249,3495527899,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,2347817067,1828505514,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1739844819,1280197409,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1089303394,735075743,826
CTE Lookahead (5),1,50,6573,0,6024,549,1071087767,698521325,549
CTE Lookahead (6),1,50,6573,0,6168,405,1526746971,1008744419,405
CTE Lookahead (7),1,50,6573,0,6266,307,2093660674,1516312031,307
CTE Lookahead (8),1,50,6573,0,6336,237,3733728458,2892992388,237
CTE Lookahead (9),1,50,6573,0,6376,197,7480739891,6473089651,197
CTE Lookahead (10),1,50,6573,0,6414,159,16408182252,15324986384,159
Lookahead (1),1,50,6573,0,4171,2402,10411859388,9732817042,4804
Lookahead (2),1,50,6573,0,5273,1300,8624912170,7949184095,3900
Lookahead (3),1,50,6573,0,5754,819,7725045442,7039880128,3276
Lookahead (4),1,50,6573,0,6029,544,6303741725,5632000843,2720
Lookahead (5),1,50,6573,0,6170,403,5774747755,5095683949,2418
Lookahead (10),1,50,6573,0,6448,125,3762366170,3079344735,1375
Lookahead (20),1,50,6573,0,6541,32,2653535369,1839686555,672
Lookahead (30),1,50,6573,0,6558,15,1996761191,1214416857,465
Lookahead (40),1,50,6573,0,6566,7,1369419388,760970188,287
Lookahead (50),1,50,6573,0,6569,4,1407974164,648553827,204
Lookahead (60),1,50,6573,0,6570,3,1094976491,525913449,183
Lookahead (70),1,50,6573,0,6570,3,1790312722,713693307,213
Lookahead (80),1,50,6573,0,6571,2,1936292640,733785953,162
Lookahead (90),1,50,6573,0,6571,2,2559109972,970686450,182
Lookahead (100),1,50,6573,0,6571,2,2933298839,1013755471,202
Null Prefetcher,1,50,6573,0,1404,5169,10470426427,9974056238,5169
Block (1),1,50,6573,0,1404,5169,289103340208,288194406162,5169
Block (10),1,50,6573,0,1404,5169,292525604460,291582341792,5169
Block (50),1,50,6573,0,1406,5167,294321683476,293387659293,5167
Block (100),1,50,6573,0,1414,5159,297388235343,296418572471,5159
Block (250),1,50,6573,0,1588,4985,281199293391,280293759604,4985
Block (500),1,50,6573,0,2129,4444,249151052058,248323144199,4444
Block (1000),1,50,6573,0,3443,3130,174893236722,174188758419,3130
Block (5000),1,50,6573,0,6149,424,23973429641,23325858599,424
Block (10000),1,50,6573,0,6433,140,9509478924,8196679700,140
Block (20000),1,50,6573,0,6531,42,6513981075,3763163600,42
CTE Lookahead (1),1,50,6573,0,1404,5169,4273259423,3656248661,5169
CTE Lookahead (2),1,50,6573,0,4178,2395,2745376669,2170003596,2395
CTE Lookahead (3),1,50,6573,0,5279,1294,1374033668,969068163,1294
CTE Lookahead (4),1,50,6573,0,5747,826,1247949316,832497790,826
CTE Lookahead (5),1,50,6573,0,6024,549,1110008012,751817257,549
CTE Lookahead (6),1,50,6573,0,6168,405,1248761224,861288806,405
CTE Lookahead (7),1,50,6573,0,6266,307,2125744140,1611336788,307
CTE Lookahead (8),1,50,6573,0,6336,237,3758820980,2939672521,237
CTE Lookahead (9),1,50,6573,0,6376,197,7532636954,6525801516,197
CTE Lookahead (10),1,50,6573,0,6414,159,16548317059,15463653887,159
Lookahead (1),1,50,6573,0,4171,2402,10598375186,9905873399,4804
Lookahead (2),1,50,6573,0,5273,1300,8683337719,7994520894,3900
Lookahead (3),1,50,6573,0,5754,819,6840789687,6199826624,3276
Lookahead (4),1,50,6573,0,6029,544,5641061381,5025530781,2720
Lookahead (5),1,50,6573,0,6170,403,5434948363,4750259034,2418
Lookahead (10),1,50,6573,0,6448,125,3822642668,3094307352,1375
Lookahead (20),1,50,6573,0,6541,32,2902257299,2032664304,672
Lookahead (30),1,50,6573,0,6558,15,1882297611,1119434059,465
Lookahead (40),1,50,6573,0,6566,7,1437588691,769918578,287
Lookahead (50),1,50,6573,0,6569,4,1271830436,564488491,204
