Engine	bounds	results	time
Neo4J	-74450000,40301000,-73500010,40301500	1	1377736711
Neo4J1	-74450000,40301000,-73500010,40301500	1	731162859
Grapht	-74450000,40301000,-73500010,40301500	1	258165857
PSQL	-74450000,40301000,-73500010,40301500	1	258165857
Neo4J	-74450000,40301000,-73500010,40301500	1	788002348
Neo4J1	-74450000,40301000,-73500010,40301500	1	821567114
Grapht	-74450000,40301000,-73500010,40301500	1	104790606
PSQL	-74450000,40301000,-73500010,40301500	1	104790606
Neo4J	-74450000,40301000,-73500010,40301500	1	733977251
Neo4J1	-74450000,40301000,-73500010,40301500	1	1016465662
Grapht	-74450000,40301000,-73500010,40301500	1	140625814
PSQL	-74450000,40301000,-73500010,40301500	1	140625814
Neo4J	-74450000,40301000,-73500010,40301500	1	1085834533
Neo4J1	-74450000,40301000,-73500010,40301500	1	1242073067
Grapht	-74450000,40301000,-73500010,40301500	1	155491967
PSQL	-74450000,40301000,-73500010,40301500	1	155491967
Neo4J	-74450000,40301000,-73500010,40301500	1	1220804325
Neo4J1	-74450000,40301000,-73500010,40301500	1	1449510084
Grapht	-74450000,40301000,-73500010,40301500	1	150778044
PSQL	-74450000,40301000,-73500010,40301500	1	150778044
Neo4J	-74450000,40301000,-73500010,40301500	1	1210138810
Neo4J1	-74450000,40301000,-73500010,40301500	1	1229658749
Grapht	-74450000,40301000,-73500010,40301500	1	206316650
PSQL	-74450000,40301000,-73500010,40301500	1	206316650
Neo4J	-74450000,40301000,-73500010,40301500	1	1026910321
Neo4J1	-74450000,40301000,-73500010,40301500	1	1138744001
Grapht	-74450000,40301000,-73500010,40301500	1	140055686
PSQL	-74450000,40301000,-73500010,40301500	1	140055686
Neo4J	-74450000,40301000,-73500010,40301500	1	1179703648
Neo4J1	-74450000,40301000,-73500010,40301500	1	1186663461
Grapht	-74450000,40301000,-73500010,40301500	1	170145481
PSQL	-74450000,40301000,-73500010,40301500	1	170145481
Neo4J	-74450000,40301000,-73500010,40301500	1	1168179578
Neo4J1	-74450000,40301000,-73500010,40301500	1	1229556022
Grapht	-74450000,40301000,-73500010,40301500	1	201409478
PSQL	-74450000,40301000,-73500010,40301500	1	201409478
Neo4J	-74450000,40301000,-73500010,40301500	1	1094391993
Neo4J1	-74450000,40301000,-73500010,40301500	1	1194137759
Grapht	-74450000,40301000,-73500010,40301500	1	161848304
PSQL	-74450000,40301000,-73500010,40301500	1	161848304
[0m[[32msuccess[0m] [0mTotal time: 49 s, completed 24-May-2016 11:06:21[0m
