Engine	bounds	results	time
Neo4J	-74450000,40301000,-73500010,40301500	210	4967310657
Grapht	-74450000,40301000,-73500010,40301500	210	2231862544
PostgreSQL	-74450000,40301000,-73500010,40301500	210	2231862544
Neo4J	-74450000,40301000,-73500010,40301500	210	4190010925
Grapht	-74450000,40301000,-73500010,40301500	210	851827131
PostgreSQL	-74450000,40301000,-73500010,40301500	210	851827131
Neo4J	-74450000,40301000,-73500010,40301500	210	3932603741
Grapht	-74450000,40301000,-73500010,40301500	210	340158416
PostgreSQL	-74450000,40301000,-73500010,40301500	210	340158416
Neo4J	-74450000,40301000,-73500010,40301500	210	1727306428
Grapht	-74450000,40301000,-73500010,40301500	210	345854460
PostgreSQL	-74450000,40301000,-73500010,40301500	210	345854460
Neo4J	-74450000,40301000,-73500010,40301500	210	1791776086
Grapht	-74450000,40301000,-73500010,40301500	210	336148000
PostgreSQL	-74450000,40301000,-73500010,40301500	210	336148000
Neo4J	-74450000,40301000,-73500010,40301500	210	1784393779
Grapht	-74450000,40301000,-73500010,40301500	210	346203414
PostgreSQL	-74450000,40301000,-73500010,40301500	210	346203414
Neo4J	-74450000,40301000,-73500010,40301500	210	1760051802
Grapht	-74450000,40301000,-73500010,40301500	210	357559800
PostgreSQL	-74450000,40301000,-73500010,40301500	210	357559800
Neo4J	-74450000,40301000,-73500010,40301500	210	1782622915
Grapht	-74450000,40301000,-73500010,40301500	210	337695500
PostgreSQL	-74450000,40301000,-73500010,40301500	210	337695500
Neo4J	-74450000,40301000,-73500010,40301500	210	1739787216
Grapht	-74450000,40301000,-73500010,40301500	210	329639437
PostgreSQL	-74450000,40301000,-73500010,40301500	210	329639437
Neo4J	-74450000,40301000,-73500010,40301500	210	1789027095
Grapht	-74450000,40301000,-73500010,40301500	210	329255000
PostgreSQL	-74450000,40301000,-73500010,40301500	210	329255000
[0m[[32msuccess[0m] [0mTotal time: 65 s, completed 24-May-2016 20:41:28[0m
